#node	identifier	node_degree
BRCA1	9606.ENSP00000418960	5
BUB1	9606.ENSP00000302530	21
BUB1B	9606.ENSP00000287598	24
CENPA	9606.ENSP00000336868	18
CENPE	9606.ENSP00000265148	17
CENPH	9606.ENSP00000283006	26
CENPI	9606.ENSP00000362018	50
CENPK	9606.ENSP00000379911	19
CENPM	9606.ENSP00000215980	10
CENPN	9606.ENSP00000377007	11
CENPO	9606.ENSP00000370214	10
CENPP	9606.ENSP00000364737	8
CENPQ	9606.ENSP00000337289	9
CENPU	9606.ENSP00000281453	20
CEP76	9606.ENSP00000262127	2
CLASP1	9606.ENSP00000263710	11
CLASP2	9606.ENSP00000417518	9
COBLL1	9606.ENSP00000341360	12
H3F3A	9606.ENSP00000355778	10
H3F3B	9606.ENSP00000254810	10
H3F3C	9606.ENSP00000339835	11
HIST1H3J	9606.ENSP00000352252	11
HIST2H3D	9606.ENSP00000333277	13
HIST3H3	9606.ENSP00000355657	9
HJURP	9606.ENSP00000414109	4
ITGB3BP	9606.ENSP00000360133	8
KIAA1429	9606.ENSP00000297591	21
KIF20A	9606.ENSP00000378356	22
KIF20B	9606.ENSP00000360793	14
KIF23	9606.ENSP00000260363	21
MAD1L1	9606.ENSP00000385334	14
MAD2L1	9606.ENSP00000296509	19
MEAF6	9606.ENSP00000362166	6
NDC80	9606.ENSP00000261597	15
NIFK	9606.ENSP00000285814	5
NUF2	9606.ENSP00000271452	7
NUP107	9606.ENSP00000229179	13
NUP85	9606.ENSP00000245544	10
NUP93	9606.ENSP00000310668	13
PRPF19	9606.ENSP00000227524	3
RNF4	9606.ENSP00000426503	12
SAMM50	9606.ENSP00000345445	3
SEC13	9606.ENSP00000373312	15
SEH1L	9606.ENSP00000382779	14
SGOL1	9606.ENSP00000263753	12
THOC2	9606.ENSP00000245838	12
TRAPPC12	9606.ENSP00000324318	10
WDR11	9606.ENSP00000263461	7
ZC3H13	9606.ENSP00000282007	9
ZW10	9606.ENSP00000200135	16
ZWILCH	9606.ENSP00000311429	13
